,Date,Close,High,Low,Open,Volume
0,2025-02-07,514.3629760742188,519.5941353324912,512.7623788245686,516.4808039125817,3349100
1,2025-02-10,520.550537109375,521.3215281478717,510.80065460786915,514.9875237358008,3143100
2,2025-02-11,521.0873413085938,534.3799830366062,515.5731734747583,522.1414004409136,2631900
3,2025-02-12,514.7240600585938,529.3146918535286,512.8794715709562,526.8747789021097,3859200
4,2025-02-13,518.4131469726562,521.487460937888,514.4311925910665,518.1399077136267,2835100
5,2025-02-14,510.92755126953125,520.3846564381602,510.34193640874815,516.2855906854321,3705300
6,2025-02-18,488.6950378417969,503.5980148856153,485.0546771281993,498.6596336339993,8759300
7,2025-02-19,498.75726318359375,499.55753201013545,486.1770574835424,489.2806196653615,4380300
8,2025-02-20,490.344482421875,496.21001342181324,488.2168555044627,493.04789548847765,4144300
9,2025-02-21,455.209716796875,458.41088156775413,427.9607544035126,428.9855059838852,19864900
10,2025-02-24,450.4274597167969,456.75172509422185,446.0161076240585,455.46344384961947,6919300
11,2025-02-25,459.07452392578125,459.4453954740098,439.2526727344916,449.69548269475774,9101000
12,2025-02-26,452.44769287109375,461.6803151067788,447.1872560543302,453.4822135760772,5108400
13,2025-02-27,457.29827880859375,463.9738775978039,453.8433534564609,454.96573733019926,4216800
14,2025-02-28,463.54443359375,464.91077894800276,453.31633712697686,455.7757587646318,6146300
15,2025-03-03,455.8245544433594,465.7989204097334,454.02878197185214,462.96862716425017,5700200
16,2025-03-04,463.2027893066406,467.6922347960727,455.24867956980626,458.4596131402866,5864100
17,2025-03-05,464.5399169921875,467.56538522221905,459.68936885733564,459.7479243853947,3637100
18,2025-03-06,475.99774169921875,476.38812181679333,460.65556778419494,464.55942852812876,4964000
19,2025-03-07,481.61932373046875,487.9045420809615,471.7522999455181,472.2012356036691,5434100
20,2025-03-10,470.68096923828125,487.9607738378904,468.22081800284997,482.5014084650127,5108900
21,2025-03-11,476.3853759765625,477.10085621264864,467.6621703473412,472.91568567949923,4101000
22,2025-03-12,471.5533142089844,477.91441850540065,469.30882384059055,473.54301941575375,3680800
23,2025-03-13,471.95513916015625,474.4446933087641,465.56466235238486,469.92628010108064,2876600
24,2025-03-14,478.9434814453125,479.7276082429371,468.74026143494797,471.4454465418397,3915900
25,2025-03-17,489.1075134277344,490.6659262615008,476.29715713501474,477.8261670817811,5152300
26,2025-03-18,493.7925720214844,495.9194805918801,487.9313770872841,492.2635620463555,3617600
27,2025-03-19,493.20452880859375,496.2919517374039,490.12688690166647,495.0079757577674,3317600
28,2025-03-20,501.1435852050781,504.172232131932,493.50834638150013,495.2137736553017,4965400
29,2025-03-21,506.58331298828125,508.6906295058969,495.05693293690314,501.5160261653485,10244900
30,2025-03-24,506.2403259277344,507.9555642053211,500.9671886085324,504.84854933286636,3840900
31,2025-03-25,503.2313232421875,508.6906890685336,501.3690704398202,507.98501971770156,3015100
32,2025-03-26,507.9065246582031,512.5621710018829,502.6627607774562,504.9661164411422,3253800
33,2025-03-27,505.4757995605469,510.7293749249338,502.76086303471567,506.0344843591441,2822200
34,2025-03-28,505.7894287109375,510.63130360253183,504.8191035105759,506.6029584519804,2379100
35,2025-03-31,513.3463134765625,517.6295037072427,508.288837216165,508.867084049453,5238700
36,2025-04-01,512.7288208007812,517.6784964207452,510.60194209404585,515.2967727419767,2962500
37,2025-04-02,512.8071899414062,514.5714228552157,506.5342953336877,512.5621559305229,2378900
38,2025-04-03,529.7047729492188,537.6046677709553,518.7762311611419,519.4623384172891,6457900
39,2025-04-04,514.6204833984375,540.780320133293,514.4146930895847,529.9008325901024,9919000
40,2025-04-07,514.2774047851562,518.6880170734977,493.5867169185978,503.2018792256506,7356700
41,2025-04-08,542.0936889648438,573.3894273451783,536.5853288887181,570.6058145092978,11762300
42,2025-04-09,567.0087890625,577.692297521911,543.446336460299,549.0135028716708,12691900
43,2025-04-10,582.5928955078125,589.924294062055,568.4789123749185,568.7141354566738,8646000
44,2025-04-11,587.5621948242188,594.3153473206794,574.8792903500624,577.2217703059817,6121500
45,2025-04-14,575.398681640625,583.7984549798292,567.7830051966565,583.180964466926,4839300
46,2025-04-15,571.9976806640625,581.0835020722665,570.449048800578,580.4758224466136,3871300
47,2025-04-16,573.4188232421875,582.9947724303996,571.3801831525036,573.6932900750847,4192100
48,2025-04-17,445.089599609375,480.0608791439814,438.2188657399849,472.3766155436794,29120200
49,2025-04-21,416.8813171386719,444.491767077105,416.3716570823374,440.82606725763765,13029900
50,2025-04-22,418.69451904296875,422.9287140424726,408.83435257546824,416.20499496231844,10156900
51,2025-04-23,419.45904541015625,430.13274211111457,415.3326807214203,418.58673981754424,8345700
52,2025-04-24,415.82275390625,421.36051706851197,415.2346662449078,419.07681304247996,7629100
53,2025-04-25,410.3241882324219,415.1464410584509,403.83566217276143,415.1464410584509,9263800
54,2025-04-28,411.6571960449219,415.69535232506513,407.2955780746548,411.41216199965703,6614300
55,2025-04-29,401.1011047363281,413.3723978718608,400.9736822582173,412.8235240518293,9909100
56,2025-04-30,403.2672119140625,405.05106685025186,393.0345883190306,400.9050802502607,9192800
57,2025-05-01,392.720947265625,403.80628478178323,391.917228440082,403.1496103085428,9316800
58,2025-05-02,391.97607421875,394.01474431189285,385.30131931529314,392.0152581297499,11392900
59,2025-05-05,396.7689208984375,401.56180113098975,389.6923365489881,391.1919436938183,8157200
60,2025-05-06,386.67352294921875,396.6807046872991,385.60517813276067,394.79883011419787,7858600
61,2025-05-07,383.2920227050781,387.66342135678536,378.03850754143076,387.4968149693618,8517200
62,2025-05-08,377.8914794921875,383.15483572687174,377.71506216446795,382.2530973106695,7218300
63,2025-05-09,373.07904052734375,378.8716188834068,371.0207486188464,378.00912419226535,8381100
64,2025-05-12,371.2265319824219,379.51847465824915,369.3544685222012,373.43183811301054,11004800
65,2025-05-13,305.1947937011719,335.20655729028846,302.96008451569185,329.07089552964885,59478300
66,2025-05-14,301.8917541503906,316.525180128247,301.0096076599364,315.06478679276836,40029600
67,2025-05-15,268.9003601074219,271.1546612993767,243.93629104303346,269.439423028121,121849200
68,2025-05-16,286.1115417480469,288.64027980641987,263.79385280091276,273.74222855379674,71094300
69,2025-05-19,309.6152038574219,310.0072523111838,291.34545278059767,298.7160654100118,62524700
70,2025-05-20,315.192138671875,318.19138251165873,306.37091419741785,314.5452751990946,41487000
71,2025-05-21,296.9616394042969,303.80297007909013,294.1094398306045,295.02095920356555,45506900
