,Date,Close,High,Low,Open,Volume
0,2025-02-07,186.41427612304688,192.26649305045316,184.3821938692764,191.9925655719954,29565700
1,2025-02-10,187.47015380859375,189.25322066659953,186.88244548763515,188.32681932034947,16606000
2,2025-02-11,186.34457397460938,188.06786100194904,185.3584075950013,186.11048466630118,13028100
3,2025-02-12,184.71090698242188,186.10548699141967,182.91789942739342,184.51168560959832,17632300
4,2025-02-13,187.15139770507812,187.2609717280751,184.16303184110322,185.2089477338026,12729300
5,2025-02-14,186.14532470703125,187.42035972936003,185.38827741240368,186.10548651241567,12714200
6,2025-02-18,185.07948303222656,187.051800468394,182.86809082818988,186.713122613625,19796000
7,2025-02-19,186.40431213378906,186.63341593471333,184.7806284324732,185.4629695610536,13120500
8,2025-02-20,185.91622924804688,186.394363603014,183.88414683972374,185.7767727611974,12063800
9,2025-02-21,180.87583923339844,186.74299735623012,180.42758736179914,186.56368748782089,19520800
10,2025-02-24,180.48733520507812,184.37220465818254,180.17853983824347,183.08721405434477,18734000
11,2025-02-25,176.68215942382812,180.05901249422945,176.08449532618422,179.45636292256336,20832500
12,2025-02-26,174.0225067138672,177.38940386719918,172.91681070904968,176.25881089274952,23637200
13,2025-02-27,169.54994201660156,175.90519040477736,169.0937103322737,175.2577171475479,25930500
14,2025-02-28,171.5521240234375,171.8310369544088,167.73697511811918,169.6395716969422,30049800
15,2025-03-03,168.0059356689453,174.32134533191982,166.98988700026132,173.05626616990452,24122000
16,2025-03-04,171.9406280517578,174.4857125995133,166.89028195089057,167.28873989157168,30711400
17,2025-03-05,174.3114013671875,175.0684486462283,170.26713311442498,171.65175734257568,18848000
18,2025-03-06,173.534423828125,176.04464037532372,171.83901308441207,171.88085762667328,19082400
19,2025-03-07,175.06845092773438,176.21398520957717,171.58202373998432,172.57018119468756,16395300
20,2025-03-10,167.34967041015625,169.98242789879407,165.11083364000163,169.6932301062815,28990700
21,2025-03-11,165.5247039794922,168.19236935895927,162.79222968062479,166.2227807997527,23705900
22,2025-03-12,168.5364227294922,169.06496768992824,165.02607404266914,168.00787776905614,19880100
